ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
GAD984297150,TURBINE SUPPORT,GA,------,Other,1800 BANKHEAD HWY,CARROLLTON,GA,30117,33.606014,-85.022742,N  ,N  ,-----,------         
GAD984296426,FAMILY WORLD STATION,GA,------,Other,I-75 EXIT 8,CECIL,GA,31627,,,N  ,N  ,-----,------         
GAD984290783,BP FOOD MART,GA,------,VSQG,4101 COVINGTON HIGHWAY,DECATUR,GA,30032,33.761568,-84.247455,3  ,N  ,H----,------         
GAD984290858,BP OIL CO,GA,------,Other,6309 SOUTH MAIN STREET,MORROW,GA,30260,,,N  ,N  ,-----,------         
GAD984296624,OGLESBY OIL CO,GA,------,Other,162 COMMERCE BLVD,ATHENS,GA,30603,,,N  ,N  ,-----,------         
GAD984290254,BP OIL CO,GA,------,Other,2645 WESLEY CHAPEL ROAD,DECATUR,GA,30034,33.710321,-84.217701,N  ,N  ,-----,------         
GAD984290486,BP OIL CO,GA,------,Other,744 GLYNN STREET,FAYETTEVILLE,GA,30214,,,N  ,N  ,-----,------         
GAD003291291,MCCRANIE BROTHER WOOD PRESERVING,GA,------,Other,COFFEE ST,WILLACOOCHEE,GA,31650,,,N  ,N  ,-----,------         
GAD003292455,BRIDGEPORT PLUMBING PRODUCTS INC,GA,------,Other,INDUSTRIAL PARK,MOULTRIE,GA,31776,31.187222,-83.74,N  ,N  ,-----,------         
GAR000002204,COBB MARIETTA WATER AUTH PINE MTN TANK,GA,------,Other,1446 BEAUMONT DR NW,KENNESAW,GA,30144,33.992954,-84.644625,N  ,N  ,-----,------         
GAR000002295,EOA INDEPENDENCE CTR,GA,------,Other,618 W ANDERSON ST,SAVANNAH,GA,31402,,,N  ,N  ,-----,------         
GAR000002311,SYNTHETIC INDUSTRIES LUMITE DIV,GA,------,Other,2100A ATLANTA HWY,GAINESVILLE,GA,30503,,,N  ,N  ,-----,------         
GAD991274895,COBB CNTY KENNESAW WWTP,GA,------,Other,BIG QUARRY RD,KENNESAW,GA,30144,34.023333,-84.615,N  ,N  ,-----,------         
GAD991274903,COBB CNTY WESTSIDE WWTP,GA,------,Other,800 CHESTNUT HILL RD,MARIETTA,GA,30060,33.930803,-84.575454,N  ,N  ,-----,------         
GAR000005207,EDWARDS BAKING COMPANY,GA,------,Other,1 LEMON LANE NE,ATLANTA,GA,30307-2899,33.760231,-84.338403,N  ,N  ,-----,------         
GAR000005215,ROBERTS FURNITURE CO,GA,------,VSQG,720 ELBERTON ST,TOCCOA,GA,30577,34.566607,-83.335069,3  ,N  ,H----,------         
GAR000000083,U S CONTRACTING,GA,------,Other,349 DECATUR ST,ATLANTA,GA,30312,33.749851,-84.377405,N  ,N  ,-----,------         
GAR000000190,STEPHENS JOHN D,GA,------,Other,1899 PARKER CT,STONE MOUNTAIN,GA,30087,33.828103,-84.106715,N  ,N  ,-----,------         
GAR000000232,RED ROOSTER PETRO STATION,GA,------,Other,814 E CENTRAL,FITZGERALD,GA,31750,31.71482,-83.245098,N  ,N  ,-----,------         
GAD991290024,CHEVRON USA INC 1026,GA,------,Other,214 AYCOCK ST,CARROLLTON,GA,30117,33.58,-85.076667,N  ,N  ,-----,------         
GAD991290040,CHEVRON USA INC,GA,------,Other,102 S HANCOCK ST,FORT GAINES,GA,31751,,,N  ,N  ,-----,------         
GAD991290065,CHEVRON USA INC 1084,GA,------,Other,SCREVEN & KELLY STS,LOUISVILLE,GA,30434,32.993611,-82.39,N  ,N  ,-----,------         
GAD991290107,CHEVRON USA INC,GA,------,Other,125 INDUSTRIAL WAY,SWAINSBORO,GA,30401,32.598275,-82.32258,N  ,N  ,-----,------         
GAD984318931,FIRST RESPONSE INC,GA,------,Other,255 O DELL RD,GRIFFIN,GA,30223,33.217111,-84.287019,N  ,N  ,-----,------         
GAD984318493,HESS 10251,GA,------,Other,6331 SOUTH MAIN ST,MORROW,GA,30260,33.585216,-84.338966,N  ,N  ,-----,------         
GAR000003723,WILKINSON KAOLIN ASSOC LTD,GA,------,Other,831 MILLIDGEVILLE RD,GORDON,GA,31031,,,N  ,N  ,-----,------         
GAR000003764,SCHULLER INTERNATIONAL,GA,------,Other,713 BANKHEAD HWY,WINDER,GA,30680,33.992671,-83.770085,N  ,N  ,-----,------         
GAR000003269,CITY OF ROME WATER POLL CONTROL PLNT,GA,------,Other,212 BLACK BLUFF RD,ROME,GA,30161-4610,,,N  ,N  ,-----,------         
GAR000003384,SHAW INDUSTRIES INC PLNT 78,GA,------,Other,181 COLLIER RD,TOCCOA,GA,30577,34.559902,-83.310314,N  ,N  ,-----,------         
GAR000002741,APAC GEORGIA INC FORSYTH PLANT,GA,------,Other,3561 PEACHTREE PKWY,SUWANEE,GA,30174,,,N  ,N  ,-----,------         
GAD984317305,PHILLIPS PETROLEUM CO SS#27664,GA,------,Other,1175 INDIAN TRAIL RD,NORCROSS,GA,30098,33.911798,-84.160268,N  ,N  ,-----,------         
GAD984317313,PHILLIPS PETROLEUM CO SS#13066,GA,------,Other,3669 POWERS FERRY RD,ATLANTA,GA,30342,33.857147,-84.38431,N  ,N  ,-----,------         
GAD984317354,PHILLIPS PETROLEUM CO SS#27649,GA,------,Other,4937 AUSTELL RD,AUSTELL,GA,30001,33.834426,-84.61166,N  ,N  ,-----,------         
GAD984322966,KIBER ENVIRONMENTAL SERVICES,GA,------,Other,3786 DEKALB TECHNOLOGY PKWY,ATLANTA,GA,30340,33.883945,-84.269379,N  ,N  ,-----,------         
GAD984316893,KENAN TRANSPORT CO,GA,------,Other,4159 WINTERS CHAPEL RD,DORAVILLE,GA,30340,33.913442,-84.270258,N  ,N  ,-----,------         
GAD984317032,ALTAMA EXPRESS,GA,------,Other,5693 ALTAMA AVE,BRUNSWICK,GA,31520,31.213674,-81.480634,N  ,N  ,-----,------         
GAD984317073,CLAXTON EXPRESS,GA,------,Other,202 DUVALL ST,CLAXTON,GA,30417,,,N  ,N  ,-----,------         
GAD984317172,SING FOOD STORE,GA,------,Other,828 W GREENWOOD,LAGRANGE,GA,30240,,,N  ,N  ,-----,------         
GAD984316554,GENERAL PACKAGING & PRODUCTS,GA,------,Other,800 HAINES AVE,WAYCROSS,GA,31501,31.204044,-82.359697,N  ,N  ,-----,------         
GAD984321828,CHEVRON USA PRODUCTS CO # 40033,GA,------,Other,2933 COBB PARKWAY,ATLANTA,GA,30339,33.880904,-84.461494,N  ,N  ,-----,------         
GAD984315507,MOUNT VERNON MILLS,GA,------,Other,HULSEY RD,CLEVELAND,GA,30528,,,N  ,N  ,-----,------         
GAD984315572,DINESVILLE EXPRESS,GA,------,Other,903 W OGLETHORPE HWY,HINESVILLE,GA,31324,,,N  ,N  ,-----,------         
GAD984304253,CROWN GA 552,GA,------,Other,HWY 82 WEST,GEORGETOWN,GA,31754,,,N  ,N  ,-----,------         
GAD981269004,RUMMEL STAMPINGS INC,GA,------,Other,607 TURNER CHAPEL RD,ROME,GA,30161,34.242464,-85.133616,N  ,N  ,-----,------         
GAD984294801,TEXACO,GA,------,Other,2510 GRESHAM ROAD,ATLANTA,GA,30316,33.713545,-84.310343,N  ,N  ,-----,------         
GAD984294843,STAR ENTERPRISES,GA,------,Other,1280 JOHNSON FERRY ROAD,MARIETTA,GA,30066,33.962084,-84.411789,N  ,N  ,-----,------         
GAD984294884,STAR ENTERPRISES,GA,------,Other,4180 LAWRENCEVILLE HWY,LILBURN,GA,30247,33.903141,-84.120205,N  ,N  ,-----,------         
GAD984289322,FABRA CARE,GA,------,Other,951 WATSON BLVD,WARNER ROBINS,GA,00000,32.618122,-83.628229,N  ,N  ,-----,------         
GAD984289470,CLEVELAND POST AND POLE,GA,------,Other,"P. O. BOX 387, HWY 75 NORTH",CLEVELAND,GA,30528,,,N  ,N  ,-----,------         
GAD984304337,MAGIC TOUCH CLEANERS,GA,------,Other,7421A DOUGLAS BLVD,DOUGLASVILLE,GA,30135,33.723094,-84.770841,N  ,N  ,-----,------         
GAD984304352,NORFOLK SOUTHERN RAILWAY CO,GA,------,Other,47 NORTH ALEXANDER ST,TOCCOA,GA,30577,34.580048,-83.331566,N  ,N  ,-----,------         
GAD984304360,HERTZ EQUIPMENT RENTAL,GA,------,Other,5035 HWY 85,FOREST PARK,GA,30050,,,N  ,N  ,-----,------         
GAD984302133,BROOKS NAPA AUTO PARTS,GA,------,Other,805 COMMERCE ST,PERRY,GA,31069,32.457505,-83.73657,N  ,N  ,-----,------         
GAD984302372,ACA AMOCO #307,GA,------,Other,3165 ROOSEVELT HWY,COLLEGE PARK,GA,30349,33.622446,-84.494693,N  ,N  ,-----,------         
GAD984295402,STAR ENTERPRISES,GA,------,Other,2745 SANDY PLAINS RD,MARIETTA,GA,30062,34.016853,-84.492201,N  ,N  ,-----,------         
GAD984295428,GAY CONSTRUCTION CO.,GA,------,Other,650 14TH STREET,ATLANTA,GA,30318,33.786223,-84.408658,N  ,N  ,-----,------         
GAR000022681,AMERICAN MATERIAL SERVICES,GA,------,Other,1154 CUMSLO RD,GRAY,GA,31032,,,N  ,N  ,-----,------         
GAR000022228,ASHLAND DISTRIBUTION CO @ AEROSOL SPEC,GA,------,Other,3150 MOON STATION RD,KENNESAW,GA,30144,,,N  ,N  ,-----,------         
GAR000021907,COMPTONS AUTOMOTIVE BODY SHOP,GA,------,Other,464 NORTH AVE,ATLANTA,GA,30318,,,N  ,N  ,-----,------         
GAR000051102,FIRST CONGREGATIONAL CHURCH UCC,GA,------,Other,105 COURTLAND ST,ATLANTA,GA,30303,,,N  ,N  ,-----,------         
GAD984317610,GLEN CO ENTERPRISES,GA,------,Other,370 GEESMILL BUSINESS PKWY,CONYERS,GA,30208,33.647371,-83.975194,N  ,N  ,-----,------         
GAD984317628,EXXON CO USA #45812,GA,------,Other,I-75 & STATE RD 351,MCDONOUGH,GA,30253,,,N  ,N  ,-----,------         
GAD984317651,PEACH AUTO PAINTING & COLLISION,GA,------,Other,105 KNODISHALL DR,WARNER ROBINS,GA,31093,,,N  ,N  ,-----,------         
GAD984306928,THE RESTORATION COMPANY,GA,------,Other,3120 MEDLOCK BRIDGE ROAD BLDG,NORCROSS,GA,30071,33.959645,-84.208164,N  ,N  ,-----,------         
GAD984306944,ATLANTA SUNDRIES INC,GA,------,Other,2188 OLD COVINGTON HWY,CONYERS,GA,30207,33.680116,-84.059623,N  ,N  ,-----,------         
GAD984306951,KANGAROO #18,GA,------,Other,1333 LUMPKIN ST,ATHENS,GA,30606,33.943403,-83.382021,N  ,N  ,-----,------         
GAD984289496,ART N VIDEO,GA,------,Other,5893 STEWART PARKWAY,DOUGLASVILLE,GA,30135,33.718826,-84.769638,N  ,N  ,-----,------         
GAD984285098,KRAFT GENERAL FOODS,GA,------,Other,593 GLEN IRIS DR,ATLANTA,GA,30308,33.77045,-84.367159,N  ,N  ,-----,------         
GAR000034256,MAULE AIR INC,GA,------,SQG,2099 GA HWY 133 S,MOULTRIE,GA,31788,31.103479,-83.666453,2  ,N  ,H----,------         
GAR000018549,WINN-DIXIE STORE #1823,GA,------,Other,3121 HWY 34 E,NEWNAN,GA,30265,,,N  ,N  ,-----,------         
GAR000018580,"SUNDANCE BOATS, INC",GA,------,Other,1003 M STREET,WAYCROSS,GA,31501-5715,,,N  ,N  ,-----,------         
GAR000018614,PENSKE TRUCK LEASING INC,GA,------,Other,4750 OLD DIXIE HIGHWAY,FOREST PARK,GA,30297,,,N  ,N  ,-----,------         
GAR000018697,WILBANKS NJ,GA,------,Other,846 BALLGROUND HWY,BALLGROUND,GA,30107,,,N  ,N  ,-----,------         
GAR000013151,PENSKE TRUCK LEASING CO LP,GA,------,Other,4276 HWY 78 BLDG B,DOUGLASVILLE,GA,30134,,,N  ,N  ,-----,------         
GAR000013185,HA SACK CO INC WAREHOUSE,GA,------,Other,317 STOCKYARD RD,STATESBORO,GA,30458,,,N  ,N  ,-----,------         
GAR000013193,ALLSTATE ENVIRONMENTAL SVC,GA,------,Other,10532 FITZGERALD RD,JONESBORO,GA,30238,33.46852,-84.374728,N  ,N  ,-----,------         
GAR000013276,CAPITOL HOMES,GA,------,Other,89 MEMORIAL DR SE,ATLANTA,GA,30312,,,N  ,N  ,-----,------         
GAR000012583,OXFORD CLEANERS,GA,------,Other,580 ATLANTA RD,CUMMING,GA,30130,34.190383,-84.137257,N  ,N  ,-----,------         
GAD981276454,HERTZ CORP,GA,------,VSQG,3062 SPRINGDALE RD,HAPEVILLE,GA,30354,33.670403,-84.417062,3  ,N  ,H----,------         
GAD981276470,SING OIL CO,GA,------,Other,211 INDUSTRIAL BLVD,THOMASVILLE,GA,31792,30.822661,-83.996112,N  ,N  ,-----,------         
GAD981276496,FLASH FOODS #75,GA,------,Other,RT 5 JAMESTOWN HWY,WAYCROSS,GA,31501,,,N  ,N  ,-----,------         
GAD981276504,FLASH FOODS #69,GA,------,Other,INT HWY 280 & HWY 221,MOUNT VERNON,GA,30445,,,N  ,N  ,-----,------         
GAD984317487,GEORGIA DEPARTMENT OF AGRICULTURE  ,GA,------,SQG,3150 HWY 41 S,TIFTON,GA,31794,31.583411,-83.573563,2  ,N  ,H----,------         
GAR000026849,WAL-MART STORE #614,GA,------,Other,803 NEW FRANKLIN RD,LAGRANGE,GA,30240,,,N  ,N  ,-----,------         
GAD981276223,MORGAN & HUNT OIL CO,GA,------,Other,1903 N BROAD ST,ROME,GA,30162,34.269082,-85.153678,N  ,N  ,-----,------         
GAD981276272,AKINS WEST HILL TEXACO,GA,------,Other,300 WEST HILL AVE,VALDOSTA,GA,31601,30.82983,-83.282327,N  ,N  ,-----,------         
GAD981276298,SHAW IND INC PLT #13,GA,------,Other,HWY 61 SOUTH,CARTERSVILLE,GA,30120,,,N  ,N  ,-----,------         
GAD981276348,B & S COLLISION CENTER,GA,------,Other,701 ELBERTA RD,WARNER ROBINS,GA,31093,32.647568,-83.628396,N  ,N  ,-----,------         
GAD003310539,M M SYSTEMS CORP,GA,------,Other,4520 ELMDALE DR,TUCKER,GA,30084,33.841031,-84.207364,N  ,N  ,-----,------         
GAD000465138,ITT THOMPSON IND METALS DIVISION,GA,------,Other,1101 WEST SAVANNAH AVE,VALDOSTA,GA,31601,30.824199,-83.293043,N  ,N  ,-----,------         
GAR000020297,GAEPD-WILLIAMS RESIDENCE SITE,GA,------,Other,RT 3 BOX 172,CAMILLA,GA,31730,,,N  ,N  ,-----,------         
GAR000026138,GOLDBERG BROTHERS HSI SITE,GA,------,Other,241 DAN BOWLES RD,AUGUSTA,GA,30901,,,N  ,N  ,-----,------         
GAD984286419,THOMAS  & BETTS VIDALIA,GA,------,Other,2803 NORTH STREET EAST,VIDALIA,GA,38125,,,N  ,N  ,-----,------         
GAD057301947,PPG INDUSTRIES INC,GA,------,Other,1195 MENLO DR NW,ATLANTA,GA,30318,33.788744,-84.424289,N  ,N  ,-----,------         
GAD056979305,ST REGIS ALLIED OPERATIONS,GA,------,Other,SCL RAILROAD,WOODBINE,GA,31569,30.965,-81.725,N  ,N  ,-----,------         
GAD056225477,CHAMPION HOME BUILDERS COMPANY,GA,------,Other,HIGHWAY 280 EAST,PLAINS,GA,31780,32.033333,-84.396667,N  ,N  ,-----,------         
GAD054193412,BURKE CO,GA,------,Other,6000 WHEATON DR,ATLANTA,GA,30336,33.736598,-84.578971,N  ,N  ,-----,------         
GAD054194907,CHEMICAL SEALING CORP,GA,------,Other,2018 STEEL DR,TUCKER,GA,30084,33.843809,-84.234578,N  ,N  ,-----,------         
GA0000135491,COLLINS CLEANERS,GA,------,Other,3081 HWY 5,DOUGLASVILLE,GA,30135,33.70864,-84.770008,N  ,N  ,-----,------         
GA0000145722,TOTAL TRANSFORMATION INC,GA,------,Other,131 BELLS FERRY RD,WHITE,GA,30184,34.258536,-84.708891,N  ,N  ,-----,------         
GAD000141788,ATLANTIC BUILDING SYSTEMS INC,GA,------,Other,PEQUANOC DRIVE,TALLAPOOSA,GA,30176,33.73,-85.278889,N  ,N  ,-----,------         
GAD000143487,DAP OF GEORGIA INC,GA,------,Other,2629 EAST PONCE DE LEON AVE,DECATUR,GA,30030,33.776491,-84.279906,N  ,N  ,-----,------         
GA1470000075,FEDERAL BLDG,GA,------,Other,202 NORTH HARRIS ST,SANDERSVILLE,GA,31082,,,N  ,N  ,-----,------         
GA0000102061,QUALITY CARE CLEANERS,GA,------,Other,414 N HAIRSTON RD,STONE MOUNTAIN,GA,30083,33.825861,-84.195842,N  ,N  ,-----,------         
GA0000112268,COLE TRANSMISSION INC,GA,------,VSQG,620 PUCKETT DR,MABLETON,GA,30126-3312,33.817334,-84.572769,3  ,N  ,H----,------         
GA0000080325,CHEVRON 40005,GA,------,Other,2333 PEACHTREE RD,ATLANTA,GA,30305,33.817529,-84.388876,N  ,N  ,-----,------         
GA0000095935,TRI STATE SYSTEM,GA,------,Other,HWY 40 S,TIFTON,GA,31794,,,N  ,N  ,-----,------         
GAR000003863,FEED SEED & FARM SUPPLY,GA,------,Other,133 COMMUNITY DR,SYLVANIA,GA,30467,32.749596,-81.643153,N  ,N  ,-----,------         
GAD991276148,SHERWIN WILLIAMS CO,GA,------,Other,115 EAST SPRING ST,MONROE,GA,30655,33.795,-83.712882,N  ,N  ,-----,------         
GAD991275447,GEORGIA KRAFT,GA,------,Other,1115 BOBO RD,DALLAS,GA,30132,33.923333,-84.841667,N  ,N  ,-----,------         
GAD991275496,BUTLER WWTP,GA,------,Other,HWY 137,BUTLER,GA,31006,,,N  ,N  ,-----,------         
GAD051033728,GEORGIA DRUM COMPANY INC,GA,------,Other,139 BRAMPTON RD,SAVANNAH,GA,31408,32.111522,-81.140869,N  ,N  ,-----,------         
GAD051041424,VAN TRAN ELECTRIC CORP,GA,------,Other,INDUSTRIAL AIR PARK,LOUISVILLE,GA,30434,32.993333,-82.39,N  ,N  ,-----,------         
GAD050288463,YOKOGAWA CORP OF AMERICA,GA,------,Other,2 DART ROAD,NEWNAN,GA,30265,33.405668,-84.750825,N  ,N  ,-----,------         
GAD050970946,TIMBER PRODUCTS INSPECTION,GA,------,Other,884 SOUTH BLACKLAWN RD,CONYERS,GA,30207,,,N  ,N  ,-----,------         
GAR000035899,CARE ENVIRONMENTAL CORP.,GA,------,Other,714 GIL HARBIN INDUSTRIAL BLVD.,VALDOSTA,GA,31601,30.806625,-83.266742,N  ,N  ,-----,------         
GAD984290437,BP OIL CO,GA,------,Other,COLLINGSWORTH & I-85,PALMETTO,GA,30268,33.499079,-84.636239,N  ,N  ,-----,------         
GAD984290478,BP OIL CO,GA,------,Other,1942 HOWELL MILL ROAD,ATLANTA,GA,30318,33.809599,-84.412518,N  ,N  ,-----,------         
GAD984295618,SAVANNAH ASP-CO2,GA,------,Other,E PRESIDENT STREET,SAVANNAH,GA,31404,,,N  ,N  ,-----,------         
GAD981277585,JIFFY LUBE STORE #427,GA,------,Other,1247 S HAIRSTON,STONE MOUNTAIN,GA,30083,33.759518,-84.196666,N  ,N  ,-----,------         
GAD981277627,JIFFY LUBE STORE #136,GA,------,Other,2207 LAWRENCEVILLE HWY,DECATUR,GA,30033,,,N  ,N  ,-----,------         
GAD984291153,BP OIL CO,GA,------,Other,4476 CHAMBLEE-DUNWOODY,ATLANTA,GA,30338,,,N  ,N  ,-----,------         
GAD981282064,PENSKE TRUCK LEASING CO,GA,------,Other,HWY 411 BOX 39,CHATSWORTH,GA,30705,,,N  ,N  ,-----,------         
GAD981278591,MINIT-LUBE #1163,GA,------,Other,5547 FLOYD RD,MABLETON,GA,30059,33.826539,-84.575981,N  ,N  ,-----,------         
GAD981278674,MINIT-LUBE #1155,GA,------,Other,853 BROAD ST,GAINESVILLE,GA,30503,34.294411,-83.829517,N  ,N  ,-----,------         
GAD981278690,MINIT-LUBE #1153,GA,------,Other,5017 BUFORD HWY,CHAMBLEE,GA,30341,33.887591,-84.287163,N  ,N  ,-----,------         
GAD984307843,WINN DIXIE STORE #140,GA,------,VSQG,3200 NORTH ASHLEY ST,VALDOSTA,GA,31602,30.875604,-83.292256,3  ,N  ,H----,------         
GAD984307900,HERITAGE CADILLAC,GA,------,Other,5550 SOUTH FRONTAGE RD,FOREST PARK,GA,30050,33.602976,-84.392302,N  ,N  ,-----,------         
GAD984308734,CIRCLE M FOOD SHOP #3,GA,------,Other,604 BIG A RD,TOCCOA,GA,30577,34.571685,-83.309368,N  ,N  ,-----,------         
GAD984318295,BAKER ROAD SPILL,GA,------,Other,2900 BLOCK OF BAKER RD,ACWORTH,GA,30101,34.068525,-84.629743,N  ,N  ,-----,------         
