ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
GAD981241888,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/20/1996,N  
GAD991275124,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/12/1993,N  
GAD991275322,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/03/1996,N  
GAR000000224,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/19/1995,N  
GAD033582461,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/06/1991,N  
GAD033582461,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/30/1991,N  
GAR000002626,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/14/1994,N  
GAD981266208,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/22/1994,N  
GAD981267651,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/02/1998,N  
GAD981270226,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/24/1994,N  
GAD981273659,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/12/1994,N  
GAD069221554,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/23/1995,N  
GAD033582461,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/19/1993,N  
GAD033582461,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,07/31/1997,N  
GAD984300327,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/17/1995,N  
GAD984300509,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/26/1995,N  
GAD984306878,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/25/1991,N  
GAD984317867,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/27/1995,N  
GAD001733443,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/25/2016,Y  
GAR000044669,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/29/2016,Y  
GAR000017970,GA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/19/2016,N  
GAD991275124,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,11/20/1992,N  
GA0000263343,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/16/1994,N  
GA8570024606,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/30/1996,N  
GA9210020872,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/06/1992,N  
GAD003292877,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/19/1995,N  
GA0000012914,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/30/1995,N  
GA0000035642,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/25/1994,N  
GA0000052142,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/13/1993,N  
GA0000053140,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/20/1993,N  
GA0000064691,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/02/1994,N  
GA0000091785,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/25/1995,N  
GAD010103232,GA,003,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,03/23/2016,N  
GAR000041053,GA,001,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,03/23/2016,N  
GAD981235294,GA,003,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,03/16/2016,N  
GAD003304862,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/26/1992,N  
GAD003305307,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/12/1996,N  
GAD003308145,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/06/1996,N  
GAD003323805,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,07/16/1991,N  
GAD010122364,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/06/1994,N  
GAD981241037,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/25/1991,N  
GAD981243777,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/26/1995,N  
GAD981245137,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/19/1996,N  
GAD991275124,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/20/1992,N  
GAD981245137,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/07/1999,N  
GAD981250335,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/06/1994,N  
GAD981256696,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/28/1994,N  
GAD981261704,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/21/1995,N  
GAD981269095,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/18/1995,N  
GAD981270226,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/28/1994,N  
GAD981273659,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/30/1995,N  
GAD981468499,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/19/1993,N  
GAD984271650,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/31/1994,N  
GA0000181388,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/22/1993,N  
GA0000192187,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/10/1994,N  
GAD981244502,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/03/1994,N  
GAD070330576,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/01/1995,N  
GAD070330576,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,06/30/1998,N  
GAD072473622,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/07/1995,N  
GAD082830803,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/07/1995,N  
GAD091534776,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/20/1996,N  
GAD094075553,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/01/1992,N  
GAD094075553,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/01/1992,N  
GAD984284794,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,03/08/1994,N  
GAD984284984,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/18/1994,N  
GAD984288043,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,03/08/1994,N  
GAD984291666,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/21/1996,N  
GAD981024466,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/13/1991,N  
GAD981025265,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/16/1995,N  
GAD981025265,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/29/1996,N  
GAD981027055,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/05/1992,N  
GAD981225006,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/29/1995,N  
GAD981225006,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/17/1995,N  
GAD981229305,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/20/1996,N  
GAD981233935,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/06/1995,N  
GAD094075553,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,02/17/1998,N  
GAD984319947,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/15/1993,N  
GAD984320218,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/29/1995,N  
GAD980844955,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/18/1994,N  
GAD981021314,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/22/1995,N  
GAD981024334,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/29/1995,N  
GAD981025265,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/17/1995,N  
GAD981026388,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/25/1996,N  
GAD981219967,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/15/1996,N  
GAD097392971,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/18/1993,N  
GAD114381403,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/21/1994,N  
GAD980709257,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/03/1994,N  
GAD980803860,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/31/1995,N  
GA0000362079,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/29/1995,N  
GA0001038090,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/14/1995,N  
GA0001038090,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/15/1995,N  
GAD000814541,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/24/1994,N  
GAD000827873,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/10/1996,N  
GAD000828251,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/22/1993,N  
GAD003265030,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/17/1993,N  
GAD003265550,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/30/1995,N  
GA0000012914,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/16/1995,N  
GA0000035642,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/03/1994,N  
GA0000052142,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/26/1993,N  
GA0000053140,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/11/1994,N  
GAD984287193,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/21/1991,N  
GAD984288043,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,09/27/1993,N  
GAD981278302,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/23/1994,N  
GAD981468499,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/14/1992,N  
GAD984271650,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/21/1994,N  
GAD984284794,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,09/27/1993,N  
GAD984291666,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/02/1994,N  
GAD984299768,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/28/1995,N  
GAD981220460,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/24/1995,N  
GAD981225006,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/24/1995,N  
GAD981226632,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/23/1994,N  
GAD057302622,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/16/1994,N  
GAD063152573,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/15/1996,N  
GAD065344301,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/08/1992,N  
GAD066465824,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/03/1994,N  
GAD066468521,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/07/1994,N  
GAD069221554,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/28/1996,N  
GAD070330576,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/28/1993,N  
GAD984296665,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/17/1994,N  
GAD984299768,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/12/1996,N  
GAD984300327,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/31/1995,N  
GAD984306878,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/19/1991,N  
GAD984317867,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/16/1996,N  
GAD984319798,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/21/1995,N  
GAD984320218,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/12/1996,N  
GAD990675118,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/12/1992,N  
GAR000002626,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/04/1995,N  
GAR000006940,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/18/1996,N  
GAR000010314,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/20/1996,N  
GAD063152573,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/12/1996,N  
GAD064494040,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/20/1995,N  
GAD065344301,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/13/1992,N  
GAD000821967,GA,002,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,10/18/2010,Y  
GAD033582461,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/29/1992,N  
GAD033582461,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/04/1995,N  
GAD033590514,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/01/1995,N  
GAD003265030,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/23/1993,N  
GAD003271905,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/26/1995,N  
GAD033842543,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/21/1994,N  
GAD033870585,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,08/01/1991,N  
GAD040673469,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/25/1993,N  
GAD041013657,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/06/1991,N  
GAD047590476,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/20/1995,N  
GAD047608245,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/19/1994,N  
GAD003292877,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/24/1995,N  
GAD003305307,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/21/1995,N  
GAD003308145,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/25/1995,N  
GAD003319787,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/15/1995,N  
GAD003323805,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/31/1991,N  
GAD010122364,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/03/1994,N  
GAD033582461,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,01/22/1991,N  
GAD033582461,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/22/1992,N  
GAD033842543,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/07/1993,N  
GA0210020046,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/25/1993,N  
GA3210020084,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/13/1995,N  
GA3210020084,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/17/1998,N  
GA7360015450,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,01/06/1993,N  
GA8570024606,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/15/1995,N  
GA9210020872,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/18/1992,N  
GAD000616367,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/28/1994,N  
GAD000821934,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/07/1993,N  
GAD000827873,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/25/1996,N  
GAD000828251,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/28/1992,N  
GAD003265030,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/23/1991,N  
GAD051011344,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,03/20/1996,N  
GAD051011609,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,08/01/1992,N  
GAD051011609,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/07/1994,N  
GAD051011609,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/19/1994,N  
GAD057281156,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/15/1995,N  
GAD061921052,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/17/1996,N  
GAR000034652,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,09/26/2024,U  
GAR000075945,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2024,Y  
GAD065330151,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,02/25/2016,N  
GAR000074633,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2016,Y  
GAR000004325,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2016,Y  
GAR000074773,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2016,Y  
GAR000021550,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/26/2016,N  
GAD057293250,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/19/2016,N  
GAD003300506,GA,003,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,02/09/2016,N  
GAD056217276,GA,001,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,06/14/2016,N  
GAD980726491,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,E  ,11/02/2015,Y  
GAD003300506,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,02/09/2016,Y  
GAD003324449,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,08/30/2016,N  
GAD004065520,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,03/08/2016,N  
GAR000064204,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2016,N  
GAR000061358,GA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/2016,N  
GAD981220353,GA,001,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,01/19/2016,N  
GAD051034387,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/20/2016,Y  
GAR000037259,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,04/03/2008,N  
GA7170023694,GA,001,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,12/04/2012,Y  
GAD980729974,GA,002,CEI,COMPLIANCE EVALUATION INSPECTION,S  ,01/25/2016,Y  
GAD980729974,GA,003,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,01/25/2016,N  
GA4170024174,GA,003,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/29/2016,N  
