ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
GAD981260151,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,05/10/1995,,,,
GAD981267198,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/11/1990,,,,
GAD981241680,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/30/1991,,,,
GAD981242514,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/11/1997,,,,
GAD057270274,GA,005,HQ120,WRITTEN INFORMAL,S  ,11/03/1987,,,,
GAD057281156,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/08/1992,,,,
GAD057281958,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/12/1994,,,,
GAD057288144,GA,030,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/25/1987,17500.0,17500.0,,
GAD004065520,GA,020,HQ120,WRITTEN INFORMAL,S  ,10/12/1983,,,,
GAD003264256,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/05/1993,,,,
GAD981028079,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/31/1987,,,,
GAD990741092,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/28/1995,,21300.0,,
GAD981241029,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/14/1992,,,,
GAD981222433,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/18/1988,500.0,500.0,,
GAD981222433,GA,003,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,02/02/1988,,,,
GAR000012526,GA,001,HQ110,VERBAL INFORMAL,S  ,10/01/1997,,,,
GAD991276007,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/15/1985,,,,
GAD991276221,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/29/1984,,,,
GAD991276387,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/15/1999,,,,
GA0000053140,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/29/1993,,,,
GAR000006213,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/06/1996,,,,
GAR000006361,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/22/1997,,,,
GAR000006700,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/13/1999,,,,
GAD054215652,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/07/1991,,,,
GAD054228432,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/17/1993,,,,
GAD054228432,GA,002,HQ120,WRITTEN INFORMAL,S  ,04/12/1990,,,,
GAD065344301,GA,004,HQ120,WRITTEN INFORMAL,S  ,02/08/1985,,,,
GAD065344301,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/30/1984,,,,
GAD000222083,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/23/1997,,,,
GAD000222083,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/10/1996,,,,
GAD000814541,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/17/1993,,,,
GAD981222912,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/02/1993,,,,
GAD981223324,GA,APT,HQ110,VERBAL INFORMAL,E  ,08/28/1998,,,,
GAD991275900,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/05/1992,,,,
GAD991275900,GA,005,HQ120,WRITTEN INFORMAL,S  ,12/18/1985,,,,
GAR000004267,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/21/1999,,,,
GAR000004937,GA,001,HQ110,VERBAL INFORMAL,S  ,02/05/1998,,,,
GAD984304295,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/18/1998,,,,
GAD003265030,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/06/1993,,,,
GAD003265030,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/17/1993,,,,
GAD003265527,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/21/1999,,,,
GAD003265550,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/29/2000,,,,
GAD003265550,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/29/1995,,2800.0,,
GAD003266962,GA,007,HQ120,WRITTEN INFORMAL,S  ,07/30/1987,,,,
GAD041007063,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/14/1998,,,,
GAD042125146,GA,015,HQ120,WRITTEN INFORMAL,S  ,09/06/1985,,,,
GAD042125146,GA,007,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,11/30/1984,,,,
GAD990675118,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,12/18/1998,,,,
GAD093380814,GA,013,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/12/1987,15000.0,15000.0,,
GAD093380814,GA,006,HQ120,WRITTEN INFORMAL,S  ,06/26/1985,,,,
GAD096629282,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/04/1994,,,,
GAD096629282,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/12/1993,,,,
GA0001001395,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/15/1996,,,,
GAD080107873,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/31/2000,,,,
GAD080107873,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/24/1998,,,,
GAD084914787,GA,002,HQ120,WRITTEN INFORMAL,S  ,04/13/1984,,,,
GAD086961620,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/17/1998,,700.0,,
GAD086961620,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/03/1995,,,,
GAD088935200,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/15/1987,1000.0,1000.0,,
GAD003308145,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,03/21/1995,,,,
GAD003308145,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/15/1993,,,,
GAD000612986,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/28/1989,,,,
GAD000613240,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/13/1991,,,,
GAD000613794,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/17/1994,,,,
GAD000616367,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/07/1998,,,,
GAD003326477,GA,014,HQ120,WRITTEN INFORMAL,S  ,05/21/1990,,,,
GAD033734716,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,08/14/1997,,,,
GAD004149951,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/10/1995,,,,
GAD004149951,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/16/1991,,,,
GAD004501862,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/11/1994,,,,
GAD003323805,GA,003,HQ120,WRITTEN INFORMAL,S  ,03/21/1984,,,,
GAD003324985,GA,002,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,05/02/2000,,,,
GAD003324985,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/02/2000,,,,
GAD003324985,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/22/1998,,,,
GAD003324985,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/22/1996,,,,
GAD003324985,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/23/1993,,,,
GAD003323805,GA,030,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,10/14/1986,,,,
GAD003323805,GA,029,HQ120,WRITTEN INFORMAL,S  ,09/09/1986,,,,
GAD003323805,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/23/1986,,,,
GAD003323805,GA,015,HQ120,WRITTEN INFORMAL,S  ,12/06/1985,,,,
GAD033582461,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/08/1999,,,,
GAD033582461,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/11/1999,,,,
GAD070330576,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/05/1995,,,,
GAD041007063,GA,002,HQ120,WRITTEN INFORMAL,S  ,01/14/1985,,,,
GAD041007824,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/23/1992,,,,
GAD061022216,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/02/1993,,,,
GAD061022216,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/09/1992,,,,
GAD061022216,GA,015,HQ120,WRITTEN INFORMAL,S  ,12/04/1986,,,,
GAD061022216,GA,013,HQ120,WRITTEN INFORMAL,S  ,09/08/1986,,,,
GAD061022216,GA,012,HQ120,WRITTEN INFORMAL,S  ,04/10/1986,,,,
GAD061022216,GA,011,HQ120,WRITTEN INFORMAL,S  ,10/03/1985,,,,
GAD061022216,GA,004,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,04/03/1984,,,,
GAD000823096,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/02/1992,,,,
GAD000823096,GA,010,HQ120,WRITTEN INFORMAL,S  ,04/08/1988,,,,
GAD000827410,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/19/1984,,,,
GAD033870585,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/09/1992,75100.0,20500.0,,
GAD033885633,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/27/1995,,,,
GAD041007063,GA,007,HQ120,WRITTEN INFORMAL,S  ,10/21/1988,,,,
GA8570024606,GA,001,HQ110,VERBAL INFORMAL,S  ,12/15/1995,,,,
GA8570024606,GA,001,HQ110,VERBAL INFORMAL,S  ,05/10/1995,,,,
GA8570024606,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/04/1993,,75000.0,,
GAD984322909,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/21/1999,,6000.0,,
GAD981269095,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/07/1993,,,,
GAD981269095,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/29/1993,,,,
GAD981269095,GA,009,HQ120,WRITTEN INFORMAL,S  ,04/08/1991,,,,
GAD981279045,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/07/1992,,,,
GAD096629282,GA,015,HQ120,WRITTEN INFORMAL,S  ,01/24/1986,,,,
GAD096629282,GA,010,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,12/16/1985,,,,
GAD096629282,GA,008,HQ120,WRITTEN INFORMAL,S  ,10/23/1985,,,,
GAD003480183,GA,003,HQ120,WRITTEN INFORMAL,S  ,07/06/1990,,,,
GAD003480183,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/11/1988,,,,
GAD070330576,GA,004,HQ120,WRITTEN INFORMAL,S  ,05/11/1988,,,,
GAD073460941,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/19/1995,,,,
GAD073460941,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/28/1992,,,,
GAD073460941,GA,002,HQ120,WRITTEN INFORMAL,S  ,06/06/1985,,,,
GAD033582461,GA,027,HQ120,WRITTEN INFORMAL,S  ,01/14/1985,,,,
GAD073423881,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/27/1998,,,,
GAD041011099,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/05/1995,,,,
GAD041011099,GA,024,HQ120,WRITTEN INFORMAL,S  ,09/24/1986,,,,
GAD041013657,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/14/1995,,,,
GAD041013657,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/28/1993,,,,
GAD078106846,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/14/1993,,,,
GAD042125146,GA,010,HQ120,WRITTEN INFORMAL,S  ,11/10/1983,,,,
GAD088935200,GA,002,HQ120,WRITTEN INFORMAL,S  ,12/22/1983,,,,
GAD981235880,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/10/1994,,,,
GAD981236508,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/31/1990,,,,
GAD981236581,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/28/1995,,,,
GAD981237050,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/09/1997,,,,
GAD981237118,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,12/04/1997,,,,
GAD981237118,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/18/1995,,,,
GAD981237118,GA,000,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,05/13/1993,80000.0,80000.0,,
GAD051034387,GA,016,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,04/10/1986,28125.0,28125.0,,
GAD051034387,GA,007,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,01/16/1985,,,,
GAD054202916,GA,002,HQ120,WRITTEN INFORMAL,S  ,11/27/1989,,,,
GAD033842543,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/14/1994,,,,
GAD033842543,GA,001,HQ110,VERBAL INFORMAL,S  ,07/27/1993,,,,
GAD033842543,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/03/1993,,,,
GAD073421695,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/06/1991,,,,
GAD075920801,GA,020,HQ120,WRITTEN INFORMAL,S  ,05/28/1986,,,,
GAD042216549,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,07/26/2000,,,,
GAD042216549,GA,002,HQ120,WRITTEN INFORMAL,S  ,06/20/1990,,,,
GAD042710590,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/29/1997,,,,
GAD042804062,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/12/1985,,,,
GAD042869057,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/23/1995,,,,
GAD042869057,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/21/1993,,,,
GAD042970590,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/16/1984,,,,
GAD042973313,GA,003,HQ120,WRITTEN INFORMAL,S  ,09/15/1986,,,,
GAD981237191,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/21/1994,,,,
GAD991275124,GA,034,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/04/1989,,,,
GAD991275124,GA,018,HQ120,WRITTEN INFORMAL,S  ,08/30/1985,,,,
GAD991275124,GA,030,HQ120,WRITTEN INFORMAL,S  ,08/23/1985,,,,
GAD991275124,GA,022,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/28/1985,,,,
GAD991275124,GA,007,HQ120,WRITTEN INFORMAL,S  ,09/14/1983,,,,
GAR000000919,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/28/2000,,,,
GAR000002451,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/27/1998,,,,
GAD003300506,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/03/2016,,,,
GAD003401106,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,06/14/1999,,,,
GAD075920801,GA,002,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/14/1985,,,,
GAD039347174,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/05/1984,,,,
GAD040673469,GA,004,HQ120,WRITTEN INFORMAL,S  ,01/08/1991,,,,
GAD040673469,GA,002,HQ120,WRITTEN INFORMAL,S  ,09/26/1990,,,,
GAD040690737,GA,002,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,12/03/1985,,,,
GAD040690737,GA,005,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/23/1985,,,,
GAD040690737,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,01/06/1984,,,,
GAD006924872,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/30/1993,,,,
GAD066465824,GA,002,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,06/02/1986,,,,
GAD066468521,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/10/1991,,,,
GAD070330576,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,12/22/1994,,49000.0,,
GAR000002824,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/05/1996,,,,
GAD981237225,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/23/1994,,,,
GAD981237563,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/30/1990,,,,
GAD981237878,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/19/1996,,,,
GAD066481623,GA,003,HQ120,WRITTEN INFORMAL,S  ,08/04/1989,,,,
GAD067560870,GA,040,HQ120,WRITTEN INFORMAL,S  ,07/25/1988,,,,
GAD981253289,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/26/1998,,,,
GAR000003145,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/15/1996,,,,
GAR000012005,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/30/1999,,,,
GAD030035356,GA,005,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/11/1985,8000.0,8000.0,,
GAD003308145,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/08/1999,,,,
GAD003308145,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/05/1996,,100000.0,,
GAD051011344,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,06/23/1993,,,,
GAD051011609,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/30/1996,,,,
GAD056225477,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/12/1992,,,,
GAD091534776,GA,002,HQ120,WRITTEN INFORMAL,S  ,12/05/1986,,,,
GAD091752030,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/12/1992,,,,
GAD095797817,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/27/1996,,,,
GAD073446965,GA,001,HQ110,VERBAL INFORMAL,S  ,02/20/1995,,,,
GAD073446965,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,01/09/1995,,,,
GAD073460941,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/20/1998,,,,
GAD066465824,GA,001,HQ110,VERBAL INFORMAL,S  ,03/18/1993,,,,
GAD075869248,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/26/1988,,,,
GAD075870873,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/21/1991,,,,
GAD075876623,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/23/1998,,,,
GAD075876623,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/16/1997,,,,
GAD075876623,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/29/1992,,,,
GAD095811162,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/27/1998,,,,
GAD981237225,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,02/06/1996,,,,
GAR000086652,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/23/2021,,,,
GAR000061671,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/07/2016,,,,
GAR000010504,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/17/2017,,,,
GAD981243777,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/22/1996,,,,
GAD981243868,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/28/1990,,,,
GAD981264906,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/06/1992,,,,
GAD981265267,GA,121,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,11/16/1998,,,,
GAR000072546,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/02/2019,,,,
GAD003275468,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,06/01/2017,,,,
GAR000061978,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/07/2017,,,,
GAD981217995,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/15/1993,,,,
GAD981218324,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/15/1992,,,,
GAD981219512,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/09/1990,,,,
GAD082830803,GA,011,HQ120,WRITTEN INFORMAL,S  ,04/17/1989,,,,
GAD082830803,GA,009,HQ120,WRITTEN INFORMAL,S  ,04/11/1988,,,,
GAD083754978,GA,002,HQ120,WRITTEN INFORMAL,S  ,08/10/1990,,,,
GAD984289819,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/19/1993,,,,
GAD984289827,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/23/1993,,,,
GAD984290130,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/23/1993,,,,
GAD981261688,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/19/1993,,,,
GAD981261704,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/21/1995,,1500.0,,
GAD981216674,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/17/1989,,,,
GAD981216971,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/16/1993,,,,
GAD981233992,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/15/1991,,,,
GAD981237878,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/16/1992,,,,
GAD981237886,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/30/1993,,,,
GAD981239619,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/06/1991,,,,
GAD980602999,GA,000,HQ830,RCRA TO  CERCLA ADMINISTRATIVE REFERRAL,E  ,03/08/1996,,,,
GAD980602999,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/28/1993,,,,
GAD984312512,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/27/2016,,,,
GAD984285445,GA,001,HQ110,VERBAL INFORMAL,S  ,07/20/1994,,,,
