CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
13005970202,Georgia,Bacon County,0,3806,1441,0,190,4.99,0,0,0,1,1,1,26.6,38719,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,3349,87.99,1854,48.71,819,21.53,429,11.27,2605,68.43,521,13.7,8,0.22,0,0,3,0.08,212,5.56,296,7.77,103,7.12,333,23.08,2351,61.78,1204,31.63,560,14.72,351,9.23,2142,56.27,103,2.7,3,0.08,0,0,2,0.04,102,2.69,159,4.18,45,3.13,251,17.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900,930,501,2950,617,9,0,3,227,333,103,369
13007960100,Georgia,Baker County,0,2198,862,0,0,0,1,1,0,0,0,1,28.1,49625,1,1,0,0,0,1,0,0,1359,1359,NULL,759,759,NULL,2198,100,1233,56.1,513,23.34,292,13.28,994,45.22,1108,50.41,9,0.41,1,0.05,5,0.23,81,3.69,97,4.41,80,9.34,124,14.41,2198,100,1233,56.1,513,23.34,292,13.28,994,45.22,1108,50.41,9,0.41,1,0.05,5,0.23,81,3.69,97,4.41,80,9.34,124,14.41,1359,61.84,759,34.51,296,13.45,179,8.13,660,30.01,653,29.73,3,0.13,1,0.05,3,0.14,39,1.79,41,1.88,51,5.97,76,8.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1118,513,292,994,1108,9,1,5,81,97,75,119
13007960200,Georgia,Baker County,0,1253,510,0,0,0,1,1,0,0,0,1,10.1,53112,1,1,0,0,0,1,0,0,755,755,NULL,209,209,NULL,1253,100,479,38.19,288,22.98,238,18.99,681,54.35,505,40.3,16,1.28,1,0.08,4,0.32,46,3.67,48,3.83,31,6.09,27,5.37,1239,98.9,471,37.59,287,22.88,236,18.8,678,54.14,494,39.41,16,1.28,1,0.08,4,0.32,46,3.67,48,3.83,30,5.93,27,5.3,755,60.22,209,16.69,162,12.9,152,12.12,476,37.96,227,18.11,15,1.2,1,0.08,2,0.16,34,2.71,33,2.63,7,1.37,17,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490,288,238,681,505,16,1,4,46,48,41,30
13009970100,Georgia,Baldwin County,0,5401,2075,0,0,0,0,0,0,0,1,0,13.7,61011,0,0,0,0,0,0,0,1,62,62,NULL,21,21,NULL,5401,100,2175,40.28,1397,25.87,695,12.87,3234,59.88,2090,38.7,16,0.3,0,0,6,0.11,55,1.02,53,0.98,135,6.49,238,11.46,5398,99.95,2173,40.24,1397,25.86,694,12.84,3232,59.83,2090,38.69,16,0.3,0,0,6,0.11,55,1.02,53,0.98,135,6.48,238,11.45,62,1.14,21,0.38,13,0.25,11,0.2,38,0.71,22,0.42,0,0,0,0,0,0,1,0.02,0,0,3,0.13,3,0.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2451,1397,695,3234,2090,16,0,6,55,53,124,244
13009970200,Georgia,Baldwin County,1,6883,2882,0,20,0.29,1,1,1,1,1,1,26.3,57022,1,1,1,1,1,0,0,1,4749,6632,4749,1393,2710,1393,6632,96.35,2710,39.37,1598,23.21,820,11.91,4140,60.14,2109,30.65,124,1.8,1,0.01,26,0.38,232,3.37,231,3.36,121,4.21,385,13.36,4749,69,1393,20.24,1158,16.82,658,9.56,3257,47.31,1200,17.43,107,1.56,1,0.01,21,0.31,163,2.37,162,2.35,58,2.03,275,9.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2980,1663,849,4253,2232,128,1,27,242,243,126,381
13009970300,Georgia,Baldwin County,0,6098,2437,0,3,0.05,0,0,0,0,0,0,3.9,81726,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5365,87.98,1418,23.25,1282,21.02,737,12.09,3470,56.91,1649,27.05,137,2.24,0,0,7,0.11,101,1.66,124,2.04,62,2.55,159,6.54,3730,61.16,864,14.17,908,14.9,479,7.86,2534,41.55,1049,17.21,77,1.25,0,0,5,0.08,65,1.07,85,1.4,25,1.04,109,4.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1624,1428,857,3749,2023,178,0,10,138,168,69,173
13009970400,Georgia,Baldwin County,1,4336,1810,0,206,4.75,0,1,0,0,0,1,37.7,56250,0,1,0,1,0,0,0,0,56,2364,56,11,1376,11,2364,54.52,1376,31.72,252,5.8,272,6.28,1631,37.62,612,14.1,58,1.33,1,0.02,2,0.05,61,1.4,66,1.52,86,4.73,97,5.38,56,1.3,11,0.26,11,0.24,8,0.19,30,0.68,26,0.59,1,0.02,0,0,0,0,0,0,0,0,1,0.04,3,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2371,660,555,2300,1797,110,2,5,122,123,229,200
13009970500,Georgia,Baldwin County,0,7114,2132,0,1938,27.24,0,0,0,0,0,1,50.8,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,6155,86.52,3512,49.37,808,11.35,570,8.01,3903,54.86,2078,29.2,55,0.78,8,0.11,5,0.07,106,1.5,111,1.57,93,4.34,319,14.95,3481,48.93,1241,17.44,532,7.48,366,5.14,2025,28.46,1386,19.48,16,0.22,1,0.01,4,0.06,49,0.69,62,0.87,33,1.57,188,8.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2941,822,611,4708,2187,70,9,9,131,137,134,338
13009970600,Georgia,Baldwin County,1,3923,1616,0,76,1.94,1,1,1,1,1,1,36.6,29265,1,1,1,1,1,0,0,1,3162,3768,3162,2103,2530,2103,3768,96.04,2530,64.49,873,22.25,505,12.86,1028,26.22,2630,67.05,12,0.31,1,0.03,8,0.2,88,2.24,55,1.4,231,14.3,384,23.75,3162,80.61,2103,53.6,723,18.42,437,11.14,837,21.34,2241,57.13,9,0.22,1,0.03,7,0.18,67,1.71,49,1.25,202,12.48,321,19.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2308,911,525,1093,2718,12,1,8,91,55,224,386
13009970701,Georgia,Baldwin County,1,2632,815,0,637,24.2,1,1,1,1,1,1,33,39958,1,1,1,1,1,0,0,1,1404,2247,1404,1148,1605,1148,2247,85.36,1605,60.98,505,19.2,241,9.17,542,20.59,1657,62.94,10,0.39,0,0,4,0.14,34,1.31,30,1.13,148,18.17,242,29.69,1404,53.33,1148,43.62,325,12.35,172,6.53,342,12.98,1041,39.56,5,0.19,0,0,2,0.09,13,0.5,10,0.37,100,12.28,145,17.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1458,557,269,689,1885,14,0,6,38,40,127,222
13009970702,Georgia,Baldwin County,1,2297,691,0,634,27.6,1,1,1,1,1,1,32.4,29145,1,1,1,1,1,0,0,1,1822,2273,1822,1213,1538,1213,2273,98.97,1538,66.96,441,19.18,415,18.08,934,40.64,1271,55.32,30,1.31,1,0.04,1,0.04,37,1.61,31,1.35,113,16.38,188,27.15,1822,79.33,1213,52.8,315,13.71,359,15.62,755,32.85,1017,44.26,24,1.07,1,0.04,1,0.04,25,1.07,23,1.01,93,13.47,140,20.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1367,447,418,942,1286,30,1,1,37,31,113,184
13009970800,Georgia,Baldwin County,0,7036,2330,0,1055,14.99,0,0,0,1,1,1,23,41056,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,7036,100,3459,49.17,1466,20.84,729,10.36,4153,59.03,2747,39.04,24,0.34,5,0.07,26,0.37,81,1.15,69,0.98,134,5.76,390,16.75,7036,100,3459,49.17,1466,20.84,729,10.36,4153,59.03,2747,39.04,24,0.34,5,0.07,26,0.37,81,1.15,69,0.98,134,5.76,390,16.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3296,1466,729,4153,2747,24,5,26,81,69,137,352
13011970100,Georgia,Banks County,0,5208,1934,0,0,0,0,0,0,0,0,0,13.5,54522,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5208,100,2453,47.09,1297,24.9,695,13.34,4701,90.26,46,0.88,56,1.08,0,0,7,0.13,398,7.64,548,10.52,98,5.07,234,12.1,5204,99.93,2451,47.06,1296,24.89,694,13.33,4697,90.2,46,0.88,56,1.07,0,0,7,0.13,398,7.64,548,10.52,98,5.06,234,12.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2559,1297,695,4701,46,56,0,7,398,548,101,241
13011970200,Georgia,Banks County,0,5017,1852,0,0,0,0,0,0,1,1,1,13.7,46959,0,0,0,0,0,0,0,1,326,326,NULL,160,160,NULL,5017,100,2154,42.94,1283,25.57,651,12.98,4728,94.24,128,2.55,30,0.6,0,0,22,0.44,109,2.17,134,2.67,122,6.57,260,14.05,5017,100,2154,42.94,1283,25.57,651,12.98,4728,94.24,128,2.55,30,0.6,0,0,22,0.44,109,2.17,134,2.67,122,6.57,260,14.05,326,6.5,160,3.2,75,1.49,49,0.97,314,6.27,4,0.09,0,0,0,0,1,0.02,6,0.12,3,0.06,7,0.38,17,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2107,1283,651,4728,128,30,0,22,109,134,112,242
13011970300,Georgia,Banks County,0,4366,1615,0,0,0,0,0,0,0,0,0,10.3,56307,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4366,100,1565,35.84,1060,24.28,532,12.19,4051,92.79,91,2.08,17,0.39,2,0.05,11,0.25,194,4.44,221,5.06,86,5.29,218,13.49,4325,99.06,1554,35.6,1051,24.06,526,12.04,4012,91.9,91,2.08,17,0.38,2,0.05,11,0.25,192,4.4,219,5.02,85,5.26,216,13.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1675,1060,532,4051,91,17,2,11,194,221,90,225
