CHEMICAL REPORT ID,CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE NAME,SITE ADDRESS LINE1,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE STATE,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,WORKERS,MAX CONC CODE,MAXIMUM CONCENTRATION,RECYCLED,PHYSICAL FORM(S),C / C PROD CAT CODE,CONSUMER / COMMERCIAL PRODUCT CATEGORY,CONS / COMM PROD CAT OTHER DESC,C / C FC CODE,CONS / COMM FUNCTION CATEGORY,CONS / COMM FUNCT CAT OTHER DESC,JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC,CONS OR COMM USE,USED IN PROD FOR CHILDREN,C / C PV PCT,C / C MAX CONC CODE,C / C MAXIMUM CONCENTRATION,COMM WORKERS CODE,COMMERCIAL WORKERS
727343,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",77-92-9,77929,CASRN,HARCROS CHEMICALS,5200 SPEAKER ROAD,,KANSAS CITY,Wyandotte,KS,66106,08-016-6983,,,,,,,,,HARCROS CHEMICALS INC,4030 FAMBROUGH DRIVE,,POWDER SPRINGS,COBB COUNTY,GA,30127-5338,33.87772,-84.70793,10-200-8976,100600820,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,0,"305,800","305,800","145,100","88,000","88,000","100,000,000 Ð <250,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000",No,0,0,B1,0%,W2,10 Ð 24,M5,90% +,No,Dry Powder,,,,,,,,,,,,,,,,
731033,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",77-92-9,77929,CASRN,HARCROS CHEMICALS,5200 SPEAKER ROAD,,KANSAS CITY,Lowndes,KS,66106,08-016-6983,,,,,,,,,HARCROS CHEMICALS INC - VALDOSTA,125 BLANCHARD ST,,VALDOSTA,LOWNDES COUNTY,GA,31601,30.84509,-83.24735,07-627-8851,TSCA10057220,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,,,,,"41,800",0,0,"100,000,000 Ð <250,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
724197,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",77-92-9,77929,CASRN,HARCROS CHEMICALS,5200 SPEAKER ROAD,,KANSAS CITY,Wyandotte,KS,66106,08-016-6983,,,,,,,,,"HARCROS CHEMICALS, INC.",3452 CORPORATE DRIVE,,DALTON,,GA,30720,34.696746,-84.984612,06-283-1962,TSCA5384,1.10E+11,325188 All Other Basic Inorganic Chemical Manufacturing,Both,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing,Both,,,,,,,0,"63,800","143,000","100,000,000 Ð <250,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
730940,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",77-92-9,77929,CASRN,"KEMIRA CHEMICALS, INC.","1000 PARKWOOD CIRCLE, SUITE 500",,ATLANTA,Cobb,GA,30339,03-387-0585,,,,,,,,,"Kemira Chemicals, Inc.","1000 Parkwood Circle, Suite 500",,Atlanta,,GA,30339,33.90189,-84.45979,03-387-0585,TSCA7204,1.10E+11,325130 Synthetic Dye And Pigment Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,325180 Other Basic Inorganic Chemical Manufacturing,Import,Import,0,"780,000","780,000","920,000","970,000","880,000","100,000,000 Ð <250,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000","250,000,000 Ð <500,000,000",Yes,,0,B1,0%,W1,< 10,M3,30% Ð < 60%,No,"Dry Powder, Liquid",,,,,,,,,,,,,,,,
716131,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:1)",18996-35-5,18996355,CASRN,Ecolab Inc,1 Ecolab Place,,St. Paul,Ramsey,MN,55102,00-615-4611,,,,,,,,,ECOLAB INC,261 HWY. 155 S.,,MCDONOUGH,HENRY COUNTY,GA,30253-6635,33.42506,-84.14986,06-142-3778,100605678,1.10E+11,325611 Soap And Other Detergent Manufacturing,Both,,,,,Manufacture,"183,634",0,"183,634","525,646","592,828","233,534","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000",,0,0,B1,0%,W5,100 Ð 499,M2,1% Ð < 30%,No,Other Solid,C106,Laundry and Dishwashing Products,,U031,Surface active agents,,,,,Commercial,No,100,M2,1% Ð < 30%,W8,"10,000+"
727341,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",68-04-2,68042,CASRN,HARCROS CHEMICALS,5200 SPEAKER ROAD,,KANSAS CITY,Wyandotte,KS,66106,08-016-6983,,,,,,,,,HARCROS CHEMICALS INC,4030 FAMBROUGH DRIVE,,POWDER SPRINGS,COBB COUNTY,GA,30127-5338,33.87772,-84.70793,10-200-8976,100600820,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,,,,,"77,176",0,0,"50,000,000 Ð <100,000,000","100,000,000 Ð <1,000,000,000","10,000,000 Ð <50,000,000","10,000,000 Ð <50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
724190,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",68-04-2,68042,CASRN,HARCROS CHEMICALS,5200 SPEAKER ROAD,,KANSAS CITY,Wyandotte,KS,66106,08-016-6983,,,,,,,,,"HARCROS CHEMICALS, INC.",3452 CORPORATE DRIVE,,DALTON,,GA,30720,34.696746,-84.984612,06-283-1962,TSCA5384,1.10E+11,325188 All Other Basic Inorganic Chemical Manufacturing,Both,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing,Both,,,,,,,0,0,"67,529","50,000,000 Ð <100,000,000","100,000,000 Ð <1,000,000,000","10,000,000 Ð <50,000,000","10,000,000 Ð <50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
736565,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",68-04-2,68042,CASRN,UNIVAR SOLUTIONS INC.,"3075 Highland Pkwy., Ste. 200",,Downers Grove,DuPage,IL,60515-5560,09-887-7053,,,,,,,,,"UNIVAR SOLUTIONS USA INC. - DALLAS, GA",448 CADILLAC PKWY,,DALLAS,PAULDING COUNTY,GA,30157,33.895542,-84.798906,16-710-9508,TSCA119701,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Both,,,,,Manufacture,"1,395,090",0,"1,395,090","1,192,295","1,128,457","3,231,740","50,000,000 Ð <100,000,000","100,000,000 Ð <1,000,000,000","10,000,000 Ð <50,000,000","10,000,000 Ð <50,000,000",,0,0,B1,0%,W2,10 Ð 24,M3,30% Ð < 60%,No,Liquid,,,,,,,,,,,,,,,,
706850,"1,2,3-Propanetriol",56-81-5,56815,CASRN,"COLONIAL GROUP, INC.",PO BOX 576,101 North Lathrop Ave,SAVANNAH,Chatham,GA,31402,80-837-6735,,,,,,,,,COLONIAL CHEMICAL SOLUTIONS INC,916 W LATHROP,,SAVANNAH,,GA,31402,32.09613,-81.12346,11-004-2897,TSCA7061,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,0,"10,166,067","10,166,067","6,192,254","388,010","4,151,021","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000",No,0,0,B1,0%,W1,< 10,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
716083,"1,2,3-Propanetriol",56-81-5,56815,CASRN,McCullough & Associates,1746 Northeast Expressway NE,,Atlanta,DeKalb,GA,30329,80-527-7068,,,,,,,,,MCCULLOUGH & ASSOCIATES,1746 NE EXPRESSWAY NE,,ATLANTA,DEKALB COUNTY,GA,30329,33.838904,-84.322783,80-527-7068,TSCA107101,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000",Yes,,0,B1,0%,W1,< 10,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
723363,"1,2,3-Propanetriol",56-81-5,56815,CASRN,Solvay Holding Inc.,504 Carnegie Center,,Princeton,Mercer,NJ,8540,87-474-8937,SOLVAY SA,"RUE DE RANSBEEK, 310",1120 Brussels,Brussels,,,BE,37-000-9086,RHODIA INC,577 BANKHEAD HWY.,,WINDER,BARROW,GA,30680,33.993333,-83.765,61-466-8598,TSCA4240,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,CBI,0,CBI,CBI,CBI,CBI,"1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000","1,000,000,000 Ð <5,000,000,000",No,CBI,CBI,B1,0%,W4,50 Ð 99,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
701196,"1,2,4,5-Benzenetetracarboxylic acid, 1,2,4,5-tetrakis(2-ethylhexyl) ester",3126-80-5,3126805,CASRN,ZSCHIMMER&SCHWARZ,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31059,07-205-7511,,,,,,,,,ZSCHIMMER & SCHWARZ INC,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31061-6606,33.09227,-83.27805,07-205-7511,100608699,1.10E+11,325613 Surface Active Agent Manufacturing,Manufacture,,,,,Manufacture,"646,044",0,"646,044","466,979","53,142",0,"646,044","466,979","53,142",0,,0,"4,180",B1,0%,W3,25 Ð 49,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
701202,"1,2,4-Benzenetricarboxylic acid, 1,2,4-triisodecyl ester",36631-30-8,36631308,CASRN,ZSCHIMMER&SCHWARZ,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31059,07-205-7511,,,,,,,,,ZSCHIMMER & SCHWARZ INC,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31061-6606,33.09227,-83.27805,07-205-7511,100608699,1.10E+11,325613 Surface Active Agent Manufacturing,Manufacture,,,,,Manufacture,"133,363",0,"133,363","112,593","198,265","130,520","1,000,000 Ð <10,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","1,000,000 Ð <10,000,000",,0,0,B1,0%,W3,25 Ð 49,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
701246,"1,2,4-Benzenetricarboxylic acid, 1,2,4-triisotridecyl ester",72361-35-4,72361354,CASRN,ZSCHIMMER&SCHWARZ,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31059,07-205-7511,,,,,,,,,ZSCHIMMER & SCHWARZ INC,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31061-6606,33.09227,-83.27805,07-205-7511,100608699,1.10E+11,325613 Surface Active Agent Manufacturing,Manufacture,,,,,Manufacture,"285,884",0,"285,884","228,431","403,950","110,073","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,0,B1,0%,W3,25 Ð 49,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,
730280,"1,2,4-Benzenetricarboxylic acid, 1,2,4-tris(2-ethylhexyl) ester",3319-31-1,3319311,CASRN,"LG CHEM AMERICA, INC.","3475 PIEDMONT ROAD NE, SUITE 1200",,ATLANTA,Fulton,GA,30305,19-465-5882,LG CHEM LTD,"128, Yeoui-daero, Yeongdeungpo-gu",,Seoul,,7336,KS,69-512-8893,"LG CHEM AMERICA, INC.",3475 PIEDMONT RD NE,,ATLANTA,FULTON COUNTY,GA,30305,33.85001,-84.37549,19-465-5882,TSCA99702,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,,,,,,,,,,CBI,CBI,CBI,"50,000,000 Ð <100,000,000","50,000,000 Ð <100,000,000","50,000,000 Ð <100,000,000","50,000,000 Ð <100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
717340,"1,2,4-Butanetricarboxylic acid, 2-phosphono-",37971-36-1,37971361,CASRN,Italmatch USA Corporation,5544 Oakdale Road SE,,Smyrna,Cobb,GA,30082,07-909-7066,ITALMATCH CHEMICALS GROUP,Via Magazzini del Cotone 17,,Genova,,16128,IT,56-513-2532,BWA WATER ADDITIVES US LLC,"1979 LAKESIDE PARKWAY, SUITE 925",,TUCKER,DEKALB,GA,30084-5870,33.84058,-84.24033,79-632-2100,100604995,1.10E+11,424690 Other Chemical And Allied Products Merchant Wholesalers,Both,,,,,Import,0,"186,312","186,312","390,442","203,030","216,720","1,000,000 Ð <10,000,000","10,000,000 Ð <50,000,000","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000",Yes,,"29,150",NKRA,Not Known or Reasonably Ascertainable,W2,10 Ð 24,M3,30% Ð < 60%,NKRA,,,,,,,,,,,,,,,,,
712697,"1,2,4-Butanetricarboxylic acid, 2-phosphono-",37971-36-1,37971361,CASRN,Italmatch USA Corporation,5544 Oakdale Road SE,,Smyrna,Cobb,GA,30082,07-909-7066,ITALMATCH CHEMICALS SPA,VIA MAGAZZINI DEL COTONE 17,,GENOVA,,16128,IT,56-513-2532,ITALMATCH USA CORPORATION,5544 OAKDALE ROAD SE,,SMYRNA,COBB COUNTY,GA,30082,33.819282,-84.500549,07-909-7066,TSCA10068759,1.10E+11,325180 Other Basic Inorganic Chemical Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,,,Import,0,"947,704","947,704","3,282,087","4,084,001","166,157","1,000,000 Ð <10,000,000","10,000,000 Ð <50,000,000","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000",No,0,0,B1,0%,W3,25 Ð 49,M3,30% Ð < 60%,No,Liquid,,,,,,,,,,,,,,,,
701204,"1,2,4-Butanetricarboxylic acid, 2-phosphono-",37971-36-1,37971361,CASRN,ZSCHIMMER&SCHWARZ,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31059,07-205-7511,,,,,,,,,ZSCHIMMER & SCHWARZ INC,70 GA HWY 22 W,,MILLEDGEVILLE,BALDWIN,GA,31061-6606,33.09227,-83.27805,07-205-7511,100608699,1.10E+11,325613 Surface Active Agent Manufacturing,Manufacture,,,,,Import,0,"240,625","240,625","277,750","283,250","185,625","1,000,000 Ð <10,000,000","10,000,000 Ð <50,000,000","1,000,000 Ð <10,000,000","1,000,000 Ð <10,000,000",No,"240,625",0,B1,0%,W3,25 Ð 49,M3,30% Ð < 60%,No,Liquid,CC109,All-purpose liquid cleaner/polish,,F017,Anti-scaling agent,,,,,Commercial,No,2,M2,1% Ð < 30%,W3,25 Ð 49
