TRI Facility Name,TRI Facility ID,Year,Census Tract,Latitude,Longitude,Releases (lb),Waste Managed (lb),RSEI Hazard,# of TRI Facilities
GREEN POWER SOLUTIONS OF GEORGIA,3102WGRNPW79PAP,2021,13175951001,32.50312,-82.84431,"1,720,454.24","1,720,454.24","1,187,265,655",1
WESTROCK SOUTHEAST LLC,31040STHSTSHADD,2021,13175951001,32.504129,-82.844859,"1,717,569.36","1,946,773.06","116,594,521",1
GRAPHIC PACKAGING INTERNATIONAL LLC,31206MCNKR4891M,2023,13021013900,32.7718,-83.6275,"1,594,760.91","10,011,433.88","2,469,813,410",1
GREEN POWER SOLUTIONS OF GEORGIA,3102WGRNPW79PAP,2022,13175951001,32.50312,-82.84431,"1,548,490.54","1,548,490.54","1,020,017,441",1
WESTROCK SOUTHEAST LLC,31040STHSTSHADD,2022,13175951001,32.504129,-82.844859,"1,546,051.94","1,785,423.04","233,570,274",1
GEORGIA-PACIFIC CEDAR SPRINGS LLC,31732GRTSTHIGHW,2021,13099090500,31.1694,-85.0941,"1,503,517.79","12,765,925.34","1,789,931,282",1
PACKAGING CORP OF AMERICA,31604NKSPCHIGHW,2021,13185011405,30.6949,-83.30442,"1,489,821.00","8,767,518.00","1,183,842,186",1
PACKAGING CORP OF AMERICA,31604NKSPCHIGHW,2022,13185011405,30.6949,-83.30442,"1,474,533.56","8,694,560.56","1,196,744,867",1
GRAPHIC PACKAGING INTERNATIONAL LLC,31206MCNKR4891M,2022,13021013900,32.7718,-83.6275,"1,467,220.44","11,686,783.43","3,004,453,068",1
PACKAGING CORP OF AMERICA,31604NKSPCHIGHW,2023,13185011405,30.6949,-83.30442,"1,463,543.00","8,618,655.00","1,179,625,252",1
GEORGIA-PACIFIC CEDAR SPRINGS LLC,31732GRTSTHIGHW,2022,13099090500,31.1694,-85.0941,"1,369,145.01","11,669,726.32","1,736,254,825",1
GRAPHIC PACKAGING INTERNATIONAL LLC,31206MCNKR4891M,2021,13021013900,32.7718,-83.6275,"1,343,525.45","11,335,253.21","2,846,374,994",1
GEORGIA-PACIFIC CEDAR SPRINGS LLC,31732GRTSTHIGHW,2023,13099090500,31.1694,-85.0941,"1,288,581.72","12,445,069.72","2,548,104,948",1
BRUNSWICK CELLULOSE LLC,31521BRNSW14W9T,2022,13127000702,31.173147,-81.519247,"1,269,101.89","31,442,601.89","1,789,176,516",1
BRUNSWICK CELLULOSE LLC,31521BRNSW14W9T,2021,13127000702,31.173147,-81.519247,"1,139,956.20","22,700,266.23","1,702,215,357",1
INTERNATIONAL PAPER CO,31068BCKYCOLDST,2022,13193000300,32.253889,-84.068417,"1,132,516.73","5,688,247.73","772,618,975",1
WESTROCK SOUTHEAST LLC,31040STHSTSHADD,2023,13175951001,32.504129,-82.844859,"1,083,111.98","1,300,266.68","261,670,179",1
INTERNATIONAL PAPER CO,31068BCKYCOLDST,2021,13193000300,32.253889,-84.068417,"1,076,849.89","5,401,587.89","719,759,725",1
GREEN POWER SOLUTIONS OF GEORGIA,3102WGRNPW79PAP,2023,13175951001,32.50312,-82.84431,"1,055,979.03","1,055,979.03","832,274,611",1
KOCH FOODS OF PINE MOUNTAIN VALLEY,31823CGLSNPOBOX,2023,13145120200,32.798039,-84.813689,"997,901.21","2,876,110.21","965,478",1
INTERNATIONAL PAPER CO,31068BCKYCOLDST,2023,13193000300,32.253889,-84.068417,"975,830.00","5,405,003.00","656,877,021",1
BRUNSWICK CELLULOSE LLC,31521BRNSW14W9T,2023,13127000702,31.173147,-81.519247,"973,038.42","19,703,738.42","1,421,711,852",1
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,31402NNCMPWESTL,2021,13051003700,32.10387,-81.123062,"941,231.71","20,121,849.71","1,620,436,081",1
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,31402NNCMPWESTL,2022,13051003700,32.10387,-81.123062,"885,869.63","18,709,148.63","1,322,270,999",1
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,31402NNCMPWESTL,2023,13051003700,32.10387,-81.123062,"884,122.89","18,780,302.29","1,431,471,790",1
KING AMERICA FINISHING INC,30424KNGFNGEORG,2021,13251970600,32.604571,-81.740261,"844,062.00","978,602.00","277,376,102",1
SCHERER STEAM ELECTRIC GENERATING PLANT,31046SCHRR10986,2021,13207050102,33.0613,-83.8066,"804,330.90","2,249,037.10","1,977,253,143",1
VALDOSTA OILSEEDS COMPLEX,31603RCHRDCLAYR,2021,13185010801,30.8325,-83.248056,"737,996.00","737,996.00","3,698,958",1
BASF CORP-SAVANNAH OPERATIONS,31404KTLST1800E,2023,13051011800,32.078611,-81.054444,"729,719.00","1,002,559.00","4,022,861",1
SCHERER STEAM ELECTRIC GENERATING PLANT,31046SCHRR10986,2022,13207050102,33.0613,-83.8066,"724,936.60","1,958,298.30","2,244,560,976",1
BOWEN STEAM ELECTRIC GENERATING PLANT,30120BWNST317CO,2022,13015961001,34.134,-84.922889,"713,477.90","30,576,321.90","13,618,842,593",1
PERDUE FOODS LLC - PERRY COMPLEX,31069CGLSN250GA,2021,13153021402,32.4426,-83.6287,"708,549.26","6,060,029.26","5,220,167",1
VALDOSTA OILSEEDS COMPLEX,31603RCHRDCLAYR,2023,13185010801,30.8325,-83.248056,"707,609.00","707,785.00","3,541,501",1
REPUBLIC CONDUIT INC,31732GRGTBSTATE,2021,13099090500,31.18331,-85.038177,"696,455.52","711,743.52","109,361,033,501",1
CHEMTALL INCORPORATED; FLOCRYL LLC,31323CHMTLCHEMI,2022,13179010600,31.743668,-81.431776,"677,787.00","1,940,928.00","3,821,646,531",1
KOCH FOODS OF PINE MOUNTAIN VALLEY,31823CGLSNPOBOX,2022,13145120200,32.798039,-84.813689,"675,283.00","1,878,851.00","854,479",1
VALDOSTA OILSEEDS COMPLEX,31603RCHRDCLAYR,2022,13185010801,30.8325,-83.248056,"664,583.00","664,614.00","3,323,527",1
BOWEN STEAM ELECTRIC GENERATING PLANT,30120BWNST317CO,2023,13015961001,34.134,-84.922889,"652,627.40","31,342,004.40","9,450,763,672",1
MCDONOUGH/ATKINSON STEAM ELECTRIC GENERATING PLANT,30080MCDNG5551S,2023,13067031214,33.824635,-84.474249,"640,113.00","640,113.00","4,480,210",1
REPUBLIC CONDUIT INC,31732GRGTBSTATE,2022,13099090500,31.18331,-85.038177,"636,002.79","650,894.79","75,569,615,703",1
BASF CORP-SAVANNAH OPERATIONS,31404KTLST1800E,2022,13051011800,32.078611,-81.054444,"623,096.00","841,640.00","3,364,533",1
MCDONOUGH/ATKINSON STEAM ELECTRIC GENERATING PLANT,30080MCDNG5551S,2022,13067031214,33.824635,-84.474249,"620,130.00","620,130.00","4,340,210",1
CHEMTALL INCORPORATED; FLOCRYL LLC,31323CHMTLCHEMI,2023,13179010600,31.743668,-81.431776,"609,935.00","2,551,523.00","3,065,727,568",1
KOCH FOODS OF PINE MOUNTAIN VALLEY,31823CGLSNPOBOX,2021,13145120200,32.798039,-84.813689,"608,297.00","1,873,328.54","685,484",1
U.S. ARMY MANEUVER CENTER OF EXCELLENCE,31905SRMYFUSAIC,2021,13053020206,32.384453,-84.888632,"602,496.90","602,496.90","5,208,220,401",1
MCINTOSH ELECTRIC GENERATING PLANT,31326SVNNHHWY27,2023,13103030309,32.355833,-81.168333,"600,088.00","600,088.00","4,200,140",1
MCINTOSH ELECTRIC GENERATING PLANT,31326SVNNHHWY27,2022,13103030309,32.355833,-81.168333,"600,020.00","600,020.00","4,200,140",1
KING AMERICA FINISHING INC,30424KNGFNGEORG,2022,13251970600,32.604571,-81.740261,"584,740.00","707,729.00","204,518,502",1
CHEMTALL INCORPORATED; FLOCRYL LLC,31323CHMTLCHEMI,2021,13179010600,31.743668,-81.431776,"582,132.00","1,695,480.00","3,502,583,891",1
INTERNATIONAL PAPER CO - PORT WENTWORTH,31407STNCN1BONN,2021,13051010701,32.1582,-81.1592,"578,325.90","7,781,663.50","701,513,927",1
BOWEN STEAM ELECTRIC GENERATING PLANT,30120BWNST317CO,2021,13015961001,34.134,-84.922889,"572,050.40","34,217,744.40","10,075,111,413",1
MCDONOUGH/ATKINSON STEAM ELECTRIC GENERATING PLANT,30080MCDNG5551S,2021,13067031214,33.824635,-84.474249,"560,082.00","560,082.00","3,920,210",1
MCINTOSH ELECTRIC GENERATING PLANT,31326SVNNHHWY27,2021,13103030309,32.355833,-81.168333,"530,032.00","530,032.00","3,710,140",1
U.S. ARMY MANEUVER CENTER OF EXCELLENCE,31905SRMYFUSAIC,2022,13053020206,32.384453,-84.888632,"503,547.20","503,547.20","3,568,813,556",1
INTERSTATE PAPER LLC DBA DSSMITH RICEBORO,31323NTRSTONEIN,2021,13179010600,31.741967,-81.406692,"502,906.10","4,031,173.52","487,416,141",1
REPUBLIC CONDUIT INC,31732GRGTBSTATE,2023,13099090500,31.18331,-85.038177,"499,382.89","515,400.87","70,586,988,595",1
U.S. ARMY MANEUVER CENTER OF EXCELLENCE,31905SRMYFUSAIC,2023,13053020206,32.384453,-84.888632,"492,887.50","492,887.50","4,692,840,752",1
INTERSTATE PAPER LLC DBA DSSMITH RICEBORO,31323NTRSTONEIN,2022,13179010600,31.741967,-81.406692,"486,589.44","3,601,937.44","456,920,628",1
INTERSTATE PAPER LLC DBA DSSMITH RICEBORO,31323NTRSTONEIN,2023,13179010600,31.741967,-81.406692,"486,292.57","2,728,649.57","447,600,633",1
CARGILL GAINESVILLE,30501CRGLL949RI,2023,13139000800,34.290701,-83.811488,"485,757.78","491,323.35","2,537,757",1
SK BATTERY AMERICA INC.,3052WSKBTT176ST,2023,-,34.237807,-83.479591,"474,387.70","40,345,057.70","861,032,400,167",1
SCHERER STEAM ELECTRIC GENERATING PLANT,31046SCHRR10986,2023,13207050102,33.0613,-83.8066,"467,994.70","1,540,104.70","2,082,564,632",1
OPTIMA CHEMICAL GROUP LLC,31533FFNCC1415W,2022,13069010701,31.48528,-82.86238,"432,837.07","1,146,361.07","400,290,337,795",1
CHAPARRAL BOATS INC,31639CHPRRINDUS,2021,13019970400,31.21139,-83.22833,"431,795.43","439,528.43","1,545,505",1
INTERNATIONAL PAPER CO - PORT WENTWORTH,31407STNCN1BONN,2022,13051010701,32.1582,-81.1592,"426,330.42","7,576,796.26","657,418,533",1
CHAPARRAL BOATS INC,31639CHPRRINDUS,2023,13019970400,31.21139,-83.22833,"425,696.42","433,022.42","1,524,763",1
CHAPARRAL BOATS INC,31639CHPRRINDUS,2022,13019970400,31.21139,-83.22833,"422,406.14","436,595.64","1,512,945",1
NOVELIS CORP-GREENSBORO,30642LCNNGWILLO,2021,13133950305,33.560283,-83.197522,"415,957.62","2,212,666.82","764,869,623",1
WANSLEY STEAM ELECTRIC GENERATING PLANT,30170WNSLYGEORG,2021,13149970200,33.4131,-85.0336,"403,751.30","4,439,771.30","852,395,574",1
CARBO CERAMICS INC. - TOOMSBORO FACILITY,3109WCRBCR188DE,2021,13319960400,32.84951,-83.12733,"397,827.00","397,827.00","2,784,789",1
INTERNATIONAL PAPER CO - PORT WENTWORTH,31407STNCN1BONN,2023,13051010701,32.1582,-81.1592,"391,784.50","8,133,921.20","628,476,519",1
WANSLEY STEAM ELECTRIC GENERATING PLANT,30170WNSLYGEORG,2022,13149970200,33.4131,-85.0336,"379,099.50","3,865,128.50","716,059,559",1
CARGILL GAINESVILLE,30501CRGLL949RI,2022,13139000800,34.290701,-83.811488,"373,807.82","378,055.91","1,952,212",1
PERDUE FOODS LLC - PERRY COMPLEX,31069CGLSN250GA,2022,13153021402,32.4426,-83.6287,"370,339.00","7,295,934.00","1,423,792",1
CARBO CERAMICS INC. - TOOMSBORO FACILITY,3109WCRBCR188DE,2023,13319960400,32.84951,-83.12733,"368,324.00","368,324.00","2,578,268",1
DURACELL MANUFACTURING,30240DRCLL1567F,2022,13285960901,33.01292,-85.05412,"365,464.36","2,850,812.40","37,418,432,608",1
DURACELL MANUFACTURING,30240DRCLL1567F,2023,13285960901,33.01292,-85.05412,"364,316.40","2,566,166.40","24,837,103,594",1
BASF CORP-SAVANNAH OPERATIONS,31404KTLST1800E,2021,13051011800,32.078611,-81.054444,"354,219.00","520,124.00","1,720,286",1
NOVELIS CORP-GREENSBORO,30642LCNNGWILLO,2022,13133950305,33.560283,-83.197522,"334,360.00","2,192,830.90","383,817,513",1
OPTIMA CHEMICAL GROUP LLC,31533FFNCC1415W,2021,13069010701,31.48528,-82.86238,"324,682.00","1,247,120.00","301,354,424,423",1
EMD PERFORMANCE MATERIALS CORP,31408MNDSTOLEAR,2022,13051010701,32.20084,-81.1844,"314,478.00","666,050.00","199,468",1
NOVELIS CORP-GREENSBORO,30642LCNNGWILLO,2023,13133950305,33.560283,-83.197522,"312,421.40","2,332,488.40","564,527,691",1
CARGILL GAINESVILLE,30501CRGLL949RI,2021,13139000800,34.290701,-83.811488,"299,073.43","302,476.74","1,562,001",1
CERTAINTEED LLC,30613CRTNT425AT,2022,13059140500,33.97952,-83.33383,"298,707.11","298,707.11","232,893,090,694",1
PILGRIM'S PRIDE ELBERTON PROCESSING PLANT,30635PLGRM1129L,2023,13105000502,34.096653,-82.838241,"296,500.00","315,768.00","1,950,548",1
U.S. CERAMICS,3083WPYRMX13CMM,2021,-,33.169217,-82.368215,"296,136.00","296,136.00","2,071,202",1
PERDUE FOODS LLC - PERRY COMPLEX,31069CGLSN250GA,2023,13153021402,32.4426,-83.6287,"281,310.92","7,233,568.42","8,519,992",1
OPTIMA CHEMICAL GROUP LLC,31533FFNCC1415W,2023,13069010701,31.48528,-82.86238,"280,724.54","1,062,720.54","259,741,877,716",1
BALL CONTAINER LLC - ROME CAN PLANT,30161MTLCN110MC,2022,-,34.3294,-85.0936,"274,574.69","901,689.63","256,809,820",1
BWAY CORP,31634BRCKWHIGHW,2021,13065970100,31.028995,-82.773534,"274,437.00","598,974.00","6,291,162",1
GEORGIA-PACIFIC SAVANNAH RIVER LLC,31326FRTHWROUTE,2021,13103030303,32.33113,-81.20178,"268,898.27","410,627.61","1,666,453,187",1
BALL CONTAINER LLC - ROME CAN PLANT,30161MTLCN110MC,2021,-,34.3294,-85.0936,"267,342.01","1,107,217.86","208,109,381",1
MAAX US CORP,31603LJRND1625J,2021,13185011402,30.80111,-83.27805,"263,000.00","263,000.00","920,500",1
GEORGIA-PACIFIC SAVANNAH RIVER LLC,31326FRTHWROUTE,2022,13103030303,32.33113,-81.20178,"261,488.43","367,488.43","1,399,079,563",1
JOHNSON MATTHEY PROCESS TECHNOLOGIES INC,31408NTRCT115EL,2021,13051010811,32.1151,-81.2204,"258,868.10","278,727.00","949,096",1
US ARMY FORT STEWART (PART),31314SRMYF1550C,2022,13179010102,31.871,-81.615,"254,656.00","254,656.00","8,034,461,314",1
"PINOVA,INC.",31520HRCLS2801C,2023,13127000501,31.1653,-81.4811,"252,153.00","760,991.00","2,944,739",1
PILGRIM'S PRIDE ELBERTON PROCESSING PLANT,30635PLGRM1129L,2021,13105000502,34.096653,-82.838241,"249,626.90","287,263.90","3,090,592",1
UNIVAR SOLUTIONS-DORAVILLE,30340SHLND4550N,2021,13089021309,33.895964,-84.253655,"248,454.06","285,960.06","11,275,320",1
"PINOVA,INC.",31520HRCLS2801C,2021,13127000501,31.1653,-81.4811,"247,687.67","478,574.83","298,876",1
GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,30120TLNTCPEEPL,2021,13015960407,34.242779,-84.797775,"241,176.00","7,197,722.27","3,133,560,005",1
PILGRIM'S PRIDE ELBERTON PROCESSING PLANT,30635PLGRM1129L,2022,13105000502,34.096653,-82.838241,"238,895.00","282,791.60","1,482,032",1
SANDERSON FARMS INC,31788SNDRS77GAH,2021,13071970302,31.220856,-83.790001,"237,396.00","890,132.00","4,517,435",1
"PINOVA,INC.",31520HRCLS2801C,2022,13127000501,31.1653,-81.4811,"233,545.00","290,393.98","290,289",1
JOHNSON MATTHEY PROCESS TECHNOLOGIES INC,31408NTRCT115EL,2022,13051010811,32.1151,-81.2204,"230,217.00","251,378.00","1,067,875",1
CERTAINTEED LLC,30613CRTNT425AT,2023,13059140500,33.97952,-83.33383,"226,214.64","226,217.75","11,268,997",1
CERTAINTEED LLC,30613CRTNT425AT,2021,13059140500,33.97952,-83.33383,"223,561.07","223,561.07","16,376,110",1
U.S. DOD USAF ROBINS AFB,31098SDDSF216OC,2023,13153020600,32.619983,-83.582075,"218,508.00","245,150.00","418,236,240",1
JOHNSON MATTHEY PROCESS TECHNOLOGIES INC,31408NTRCT115EL,2023,13051010811,32.1151,-81.2204,"216,063.78","219,734.00","14,791,940",1
MAAX US CORP,31603LJRND1625J,2022,13185011402,30.80111,-83.27805,"213,700.00","213,700.00","747,950",1
GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,30120TLNTCPEEPL,2022,13015960407,34.242779,-84.797775,"209,129.00","6,856,016.28","6,480,867,922",1
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2023,13121010520,33.538889,-84.616667,"209,114.00","471,280.00","36,417,138,000",1
INNOVATIVE CHEMICAL TECHNOLOGIES INC.,30120RSRCN8RIVE,2021,13015960901,34.13994,-84.84717,"194,623.40","3,664,623.40","4,075,922",1
DURACELL MANUFACTURING,30240DRCLL1567F,2021,13285960901,33.01292,-85.05412,"193,408.50","2,702,522.50","5,255,457,639",1
BOSTIK INC,30207BSTKN1500P,2021,13247060311,33.64935,-84.02052,"193,220.00","214,720.00","59,747,538,025",1
BALL CONTAINER LLC - ROME CAN PLANT,30161MTLCN110MC,2023,-,34.3294,-85.0936,"193,213.79","943,501.19","92,113,883",1
US ARMY FORT STEWART (PART),31314SRMYF1550C,2021,13179010102,31.871,-81.615,"188,150.00","188,150.00","1,407,778,088",1
US ARMY FORT STEWART (PART),31314SRMYF1550C,2023,13179010102,31.871,-81.615,"185,977.00","185,977.00","917,031,706",1
U.S. DOD USAF ROBINS AFB,31098SDDSF216OC,2021,13153020600,32.619983,-83.582075,"177,657.00","279,101.00","143,808,412",1
BWAY CORP,31634BRCKWHIGHW,2022,13065970100,31.028995,-82.773534,"176,829.00","651,520.00","6,490,200",1
MAAX US CORP,31603LJRND1625J,2023,13185011402,30.80111,-83.27805,"175,220.00","175,220.00","613,270",1
BOSTIK INC,30207BSTKN1500P,2022,13247060311,33.64935,-84.02052,"165,352.00","247,352.00","57,873,200,000",1
U.S. DOD USAF ROBINS AFB,31098SDDSF216OC,2022,13153020600,32.619983,-83.582075,"163,135.00","222,530.00","153,437,222",1
TOYOTA INDUSTRIES COMPRESSOR PARTS AMERICA CO,3056WTYTND5VALE,2021,13157010200,34.172,-83.63866,"162,321.96","173,614.36","241,569,178",1
SOLVAY USA LLC,30680LKRLCINDUS,2021,13013180107,33.993333,-83.765,"157,117.96","236,427.96","2,712,268",1
BATHCRAFT LLC,31601BTHCR1610J,2021,13185011402,30.80012,-83.27844,"152,760.00","152,760.00","534,660",1
WEST FRASER EWP CORDELE,31015MSNTC924HI,2021,13081010202,31.9656,-83.8007,"151,760.75","1,209,576.75","3,261,593,895",1
PURAFIL,30340PRFLX2654W,2023,13135050306,33.92437,-84.241358,"150,975.40","150,975.40","1,217,691,666",1
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2022,13121010520,33.538889,-84.616667,"144,736.00","372,378.00","2,408,248,000",1
BWAY CORP,31634BRCKWHIGHW,2023,13065970100,31.028995,-82.773534,"140,056.00","598,403.00","3,051,295",1
SOUTHWIRE CO,30119CPPRDCENTR,2023,13045911002,33.56685,-85.07188,"138,770.92","28,609,298.92","510,557,524",1
EMD PERFORMANCE MATERIALS CORP,31408MNDSTOLEAR,2023,13051010701,32.20084,-81.1844,"138,477.00","179,196.00","88,587",1
BOSTIK INC,30207BSTKN1500P,2023,13247060311,33.64935,-84.02052,"135,947.00","142,947.00","47,581,450,000",1
DAWSON OILSEEDS COMPLEX,31742CRGLL715NO,2021,13273120300,31.7814,-84.4484,"133,304.00","133,863.00","681,448",1
MINCEY MARBLE MANUFACTURING INC.,3050WMNCYM194NE,2023,-,34.23512,-83.817203,"132,599.00","132,599.00","464,097",1
BALL PACKAGING LLC,3016WBLLPC16BAL,2021,-,34.25775,-85.17266,"130,365.67","169,218.48","2,152,504",1
INNOVATIVE CHEMICAL TECHNOLOGIES INC.,30120RSRCN8RIVE,2022,13015960901,34.13994,-84.84717,"128,869.30","2,728,872.30","2,497,143",1
CLAXTON POULTRY FARMS,30417CLXTNPOBOX,2023,13109970300,32.18209,-81.89071,"127,928.00","127,928.00","566,690,000",1
SOLVAY USA LLC,30680LKRLCINDUS,2022,13013180107,33.993333,-83.765,"127,539.99","209,578.99","2,703,458",1
DYNAMIC PAINT SOLUTION,3102WDYNMC415AI,2021,13091960400,32.217266,-83.123348,"125,063.00","189,778.00","1,727,109,884,936",1
US BATTERY MANUFACTURING CO,30906SBTTR1895T,2021,13245010706,33.36962,-82.00746,"121,431.00","2,147,971.00","2,792,908,608",1
WAYNE-SANDERSON FARMS LLC - PENDERGRASS FRESH PLANT,30567WYNFR977WA,2023,13157010104,34.17601,-83.67147,"120,860.00","1,059,923.00","3,450,669",1
ARMSTRONG WORLD INDUSTRIES INC,31206RMSTR4520B,2021,13021013900,32.773497,-83.6516,"118,431.64","118,431.64","2,416,915,493",1
MINCEY MARBLE MANUFACTURING INC.,3050WMNCYM194NE,2022,-,34.23512,-83.817203,"117,558.00","117,558.00","411,453",1
U.S. CERAMICS,3083WPYRMX13CMM,2022,-,33.169217,-82.368215,"117,374.00","117,374.00","819,868",1
WEST FRASER EWP CORDELE,31015MSNTC924HI,2022,13081010202,31.9656,-83.8007,"116,977.21","756,501.21","1,955,476,968",1
US BATTERY MANUFACTURING CO,30906SBTTR1895T,2022,13245010706,33.36962,-82.00746,"116,792.56","2,232,839.56","2,686,224,488",1
OWENS CORNING ROOFING & ASPHALT LLC ATLANTA,30336WNSCR4795F,2021,13121007805,33.7625,-84.54611,"116,754.23","116,754.23","197,022,504",1
CARBO CERAMICS INC. - TOOMSBORO FACILITY,3109WCRBCR188DE,2022,13319960400,32.84951,-83.12733,"109,442.00","109,442.00","766,094",1
US BATTERY MANUFACTURING CO,30906SBTTR1895T,2023,13245010706,33.36962,-82.00746,"109,236.66","1,379,999.66","2,512,440,980",1
JACUZZI LUXURY BATH,3160WJCZZL512HI,2021,-,30.80013,-83.2779,"109,200.00","109,200.00","382,032",1
SOUTHWIRE CO,30119CPPRDCENTR,2022,13045911002,33.56685,-85.07188,"107,741.00","1,772,134.00","459,776,297",1
BATHCRAFT LLC,31601BTHCR1610J,2022,13185011402,30.80012,-83.27844,"107,222.00","107,222.00","375,277",1
ARMSTRONG WORLD INDUSTRIES INC,31206RMSTR4520B,2023,13021013900,32.773497,-83.6516,"103,906.19","103,906.19","2,208,173,494",1
MEGGITT POLYMERS & COMPOSITES ROCKMART,30153LRLNGGOODY,2023,13233010700,34.00291,-85.03638,"101,433.00","202,864.00","142,043",1
CAROLINA SKIFF LLC,31503CRLNS3231F,2021,13299950200,31.24579,-82.42078,"101,034.00","101,034.00","353,619",1
MINCEY MARBLE MANUFACTURING INC.,3050WMNCYM194NE,2021,-,34.23512,-83.817203,"100,825.00","101,014.70","352,888",1
CAROLINA SKIFF LLC,31503CRLNS3231F,2022,13299950200,31.24579,-82.42078,"100,500.00","100,500.00","351,750",1
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,33.614444,-84.386389,"100,377.80","370,642.04","214,950,551",1
SOUTHWIRE CO VILLA RICA PLANT,3018WSTHWR54IND,2022,13045910106,33.741261,-84.94106,"100,168.16","100,168.00","680,284,653",1
U.S. NAVY KINGS BAY NAVAL SUBMARINE BASE,31547SNVYK1063U,2022,13039010500,30.79525,-81.513556,"98,345.00","100,298.10","9,767,472",1
DECOSTAR INDUSTRIES INC,30117DCSTR1DECM,2021,13045910503,33.60548,-85.11206,"97,630.31","1,419,661.31","28,386,535",1
SK BATTERY AMERICA INC.,3052WSKBTT176ST,2022,-,34.237807,-83.479591,"97,559.00","16,266,181.00","175,578,754,500",1
GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,30120TLNTCPEEPL,2023,13015960407,34.242779,-84.797775,"97,381.00","7,066,363.91","1,923,870,486",1
MEGGITT POLYMERS & COMPOSITES ROCKMART,30153LRLNGGOODY,2021,13233010700,34.00291,-85.03638,"96,137.00","192,273.00","893,607",1
SOLVAY USA LLC,30680LKRLCINDUS,2023,13013180107,33.993333,-83.765,"92,763.57","165,127.57","15,578,409",1
ENVIVA PELLETS WAYCROSS LLC,3150WGRGBM339IN,2022,13299950200,31.2568,-82.41763,"90,553.17","534,610.17","565,268,566",1
U.S. NAVY KINGS BAY NAVAL SUBMARINE BASE,31547SNVYK1063U,2023,13039010500,30.79525,-81.513556,"89,238.70","89,375.30","11,932,086",1
ARMSTRONG WORLD INDUSTRIES INC,31206RMSTR4520B,2022,13021013900,32.773497,-83.6516,"89,121.72","89,121.72","1,984,722,018",1
U.S. NAVY KINGS BAY NAVAL SUBMARINE BASE,31547SNVYK1063U,2021,13039010500,30.79525,-81.513556,"88,225.33","89,247.24","67,290,016",1
